,accuracy,completeness,homogeneity,n_parents,triplicate
0,0.92,0.9816583633316371,0.9830790524999088,1000,1
1,0.92,0.9815349456067717,0.9834208922623633,1000,2
2,0.92,0.9815327987800315,0.9827893226331496,1000,3
3,0.92,0.9814618300274275,0.9691534701416543,10000,1
4,0.92,0.981865503773894,0.969399103247129,10000,2
5,0.92,0.9812413259199292,0.9676758851395094,10000,3
6,0.92,0.9772045200859306,0.9777009802996124,100000,1
7,0.92,0.9775317886303324,0.9779283229466149,100000,2
8,0.92,0.9764750156769679,0.9773180545959027,100000,3
